"YYBM","PSDBM","PSDBH","YPBM","SCPH","CRKSL","PSDMXBH"
"455755610","45575561001","P2016101400000002","111091","1","1","P2016101400000002-0168"
"455755610","45575561001","P2016101400000002","119659","1","1","P2016101400000002-0949"
"455755610","45575561001","P2016101400000002","108177","1","1","P2016101400000002-0080"
"455755610","45575561001","P2016101400000002","100989","1","1","P2016101400000002-0516"
"455755610","45575561001","P2016101400000002","130067","1","1","P2016101400000002-0109"
"455755610","45575561001","P2016101400000002","133015","1","1","P2016101400000002-0566"
"455755610","45575561001","P2016101400000002","132835","1","1","P2016101400000002-0151"
"455755610","45575561001","P2016101400000002","101441","1","1","P2016101400000002-0878"
"455755610","45575561001","P2016101400000002","115369","1","1","P2016101400000002-0254"
"455755610","45575561001","P2016101400000002","101115","1","1","P2016101400000002-1018"
"455755610","45575561001","P2016101400000002","114109","1","1","P2016101400000002-0914"
"455755610","45575561001","P2016101400000002","108235","1","1","P2016101400000002-0655"
"455755610","45575561001","P2016101400000002","119009","1","1","P2016101400000002-0453"
"455755610","45575561001","P2016101400000002","119559","1","1","P2016101400000002-0884"
"455755610","45575561001","P2016101400000002","126707","1","1","P2016101400000002-0381"
"455755610","45575561001","P2016101400000002","114367","1","1","P2016101400000002-0006"
"455755610","45575561001","P2016101400000002","127621","1","1","P2016101400000002-0963"
"455755610","45575561001","P2016101400000002","134215","1","1","P2016101400000002-0734"
"455755610","45575561001","P2016101400000002","120499","1","1","P2016101400000002-0200"
"455755610","45575561001","P2016101400000002","127101","1","1","P2016101400000002-0173"
"455755610","45575561001","P2016101400000002","127205","1","1","P2016101400000002-0270"
"455755610","45575561001","P2016101400000002","118989","1","1","P2016101400000002-0836"
"455755610","45575561001","P2016101400000002","135253","1","1","P2016101400000002-0844"
"455755610","45575561001","P2016101400000002","113175","1","1","P2016101400000002-0907"
"455755610","45575561001","P2016101400000002","114711","1","1","P2016101400000002-0708"
"455755610","45575561001","P2016101400000002","105333","1","1","P2016101400000002-0913"
"455755610","45575561001","P2016101400000002","127177","1","1","P2016101400000002-1020"
"455755610","45575561001","P2016101400000002","108341","1","1","P2016101400000002-0947"
"455755610","45575561001","P2016101400000002","127159","1","1","P2016101400000002-0656"
"455755610","45575561001","P2016101400000002","108137","1","1","P2016101400000002-0565"
"455755610","45575561001","P2016101400000002","129399","1","1","P2016101400000002-0802"
"455755610","45575561001","P2016101400000002","129355","1","1","P2016101400000002-0359"
"455755610","45575561001","P2016101400000002","113801","1","1","P2016101400000002-0470"
"455755610","45575561001","P2016101400000002","112365","1","1","P2016101400000002-0762"
"455755610","45575561001","P2016101400000002","117439","1","1","P2016101400000002-0876"
"455755610","45575561001","P2016101400000002","136787","1","1","P2016101400000002-0855"
