"YYBM","PSDBM","PSDBH","YPBM","SCPH","CRKSL","PSDMXBH"
"455767304","45576730401","P2016101900000005","113773","1","1","P2016101900000005-0443"
"455767304","45576730401","P2016101900000005","106327","1","1","P2016101900000005-0431"
"455767304","45576730401","P2016101900000005","104533","1","1","P2016101900000005-0039"
"455767304","45576730401","P2016101900000005","101131","1","1","P2016101900000005-0143"
"455767304","45576730401","P2016101900000005","108503","1","1","P2016101900000005-0020"
"455767304","45576730401","P2016101900000005","117425","1","1","P2016101900000005-0264"
"455767304","45576730401","P2016101900000005","107233","1","1","P2016101900000005-0252"
"455767304","45576730401","P2016101900000005","113151","1","1","P2016101900000005-0318"
"455767304","45576730401","P2016101900000005","114371","1","1","P2016101900000005-0474"
"455767304","45576730401","P2016101900000005","117417","1","1","P2016101900000005-0101"
"455767304","45576730401","P2016101900000005","112959","1","1","P2016101900000005-0224"
"455767304","45576730401","P2016101900000005","110361","1","1","P2016101900000005-0219"
"455767304","45576730401","P2016101900000005","111131","1","1","P2016101900000005-0184"
"455767304","45576730401","P2016101900000005","107253","1","1","P2016101900000005-0346"
"455767304","45576730401","P2016101900000005","109347","1","1","P2016101900000005-0447"
"455767304","45576730401","P2016101900000005","102575","1","1","P2016101900000005-0246"
"455767304","45576730401","P2016101900000005","112975","1","1","P2016101900000005-0409"
"455767304","45576730401","P2016101900000005","111135","1","1","P2016101900000005-0082"
"455767304","45576730401","P2016101900000005","111095","1","1","P2016101900000005-0053"
"455767304","45576730401","P2016101900000005","113237","1","1","P2016101900000005-0098"
"455767304","45576730401","P2016101900000005","109537","1","1","P2016101900000005-0385"
"455767304","45576730401","P2016101900000005","109463","1","1","P2016101900000005-0334"
"455767304","45576730401","P2016101900000005","103759","1","1","P2016101900000005-0475"
"455767304","45576730401","P2016101900000005","113161","1","1","P2016101900000005-0340"
"455767304","45576730401","P2016101900000005","105341","1","1","P2016101900000005-0451"
"455767304","45576730401","P2016101900000005","101525","1","1","P2016101900000005-0390"
"455767304","45576730401","P2016101900000005","101471","1","1","P2016101900000005-0050"
