"YYBM","PSDBM","PSDBH","YPBM","SCPH","CRKSL","PSDMXBH"
"G3481245X","G3481245X01","P2016101900000001","101123","1","1","P2016101900000001-0287"
"G3481245X","G3481245X01","P2016101900000001","105329","1","1","P2016101900000001-0478"
"G3481245X","G3481245X01","P2016101900000001","109447","1","1","P2016101900000001-0492"
"G3481245X","G3481245X01","P2016101900000001","105007","1","1","P2016101900000001-0389"
"G3481245X","G3481245X01","P2016101900000001","100955","1","1","P2016101900000001-0485"
"G3481245X","G3481245X01","P2016101900000001","106079","1","1","P2016101900000001-0023"
"G3481245X","G3481245X01","P2016101900000001","114367","1","1","P2016101900000001-0426"
"G3481245X","G3481245X01","P2016101900000001","113781","1","1","P2016101900000001-0496"
"G3481245X","G3481245X01","P2016101900000001","100008","1","1","P2016101900000001-0472"
"G3481245X","G3481245X01","P2016101900000001","100433","1","1","P2016101900000001-0437"
"G3481245X","G3481245X01","P2016101900000001","116805","1","1","P2016101900000001-0396"
"G3481245X","G3481245X01","P2016101900000001","100975","1","1","P2016101900000001-0403"
"G3481245X","G3481245X01","P2016101900000001","102613","1","1","P2016101900000001-0195"
"G3481245X","G3481245X01","P2016101900000001","105603","1","1","P2016101900000001-0159"
"G3481245X","G3481245X01","P2016101900000001","112961","1","1","P2016101900000001-0054"
"G3481245X","G3481245X01","P2016101900000001","114369","1","1","P2016101900000001-0097"
"G3481245X","G3481245X01","P2016101900000001","108225","1","1","P2016101900000001-0034"
"G3481245X","G3481245X01","P2016101900000001","112693","1","1","P2016101900000001-0260"
"G3481245X","G3481245X01","P2016101900000001","108519","1","1","P2016101900000001-0311"
"G3481245X","G3481245X01","P2016101900000001","104965","1","1","P2016101900000001-0086"
"G3481245X","G3481245X01","P2016101900000001","105341","1","1","P2016101900000001-0347"
"G3481245X","G3481245X01","P2016101900000001","108221","1","1","P2016101900000001-0402"
"G3481245X","G3481245X01","P2016101900000001","109403","1","1","P2016101900000001-0129"
"G3481245X","G3481245X01","P2016101900000001","100981","1","1","P2016101900000001-0207"
"G3481245X","G3481245X01","P2016101900000001","104545","1","1","P2016101900000001-0419"
"G3481245X","G3481245X01","P2016101900000001","111733","1","1","P2016101900000001-0422"
"G3481245X","G3481245X01","P2016101900000001","111781","1","1","P2016101900000001-0267"
"G3481245X","G3481245X01","P2016101900000001","105343","1","1","P2016101900000001-0221"
"G3481245X","G3481245X01","P2016101900000001","113241","1","1","P2016101900000001-0011"
"G3481245X","G3481245X01","P2016101900000001","112703","1","1","P2016101900000001-0274"
"G3481245X","G3481245X01","P2016101900000001","106271","1","1","P2016101900000001-0335"
"G3481245X","G3481245X01","P2016101900000001","106323","1","1","P2016101900000001-0212"
"G3481245X","G3481245X01","P2016101900000001","117775","1","1","P2016101900000001-0048"
