"YYBM","PSDBM","PSDBH","YPBM","SCPH","CRKSL","PSDMXBH"
"PDY410692","PDY41069201","P2016101900000003","109567","1","1","P2016101900000003-0227"
"PDY410692","PDY41069201","P2016101900000003","113817","1","1","P2016101900000003-0168"
"PDY410692","PDY41069201","P2016101900000003","106171","1","1","P2016101900000003-0191"
"PDY410692","PDY41069201","P2016101900000003","117397","1","1","P2016101900000003-0128"
"PDY410692","PDY41069201","P2016101900000003","114571","1","1","P2016101900000003-0201"
"PDY410692","PDY41069201","P2016101900000003","109459","1","1","P2016101900000003-0417"
"PDY410692","PDY41069201","P2016101900000003","106325","1","1","P2016101900000003-0164"
"PDY410692","PDY41069201","P2016101900000003","102575","1","1","P2016101900000003-0371"
"PDY410692","PDY41069201","P2016101900000003","104971","1","1","P2016101900000003-0117"
"PDY410692","PDY41069201","P2016101900000003","108185","1","1","P2016101900000003-0193"
"PDY410692","PDY41069201","P2016101900000003","106207","1","1","P2016101900000003-0090"
"PDY410692","PDY41069201","P2016101900000003","105007","1","1","P2016101900000003-0088"
"PDY410692","PDY41069201","P2016101900000003","109563","1","1","P2016101900000003-0139"
"PDY410692","PDY41069201","P2016101900000003","117615","1","1","P2016101900000003-0297"
"PDY410692","PDY41069201","P2016101900000003","101233","1","1","P2016101900000003-0484"
"PDY410692","PDY41069201","P2016101900000003","101349","1","1","P2016101900000003-0167"
"PDY410692","PDY41069201","P2016101900000003","111523","1","1","P2016101900000003-0118"
"PDY410692","PDY41069201","P2016101900000003","114134","1","1","P2016101900000003-0338"
"PDY410692","PDY41069201","P2016101900000003","108509","1","1","P2016101900000003-0229"
"PDY410692","PDY41069201","P2016101900000003","115357","1","1","P2016101900000003-0270"
"PDY410692","PDY41069201","P2016101900000003","105353","1","1","P2016101900000003-0424"
"PDY410692","PDY41069201","P2016101900000003","105607","1","1","P2016101900000003-0454"
"PDY410692","PDY41069201","P2016101900000003","111773","1","1","P2016101900000003-0412"
"PDY410692","PDY41069201","P2016101900000003","108525","1","1","P2016101900000003-0435"
"PDY410692","PDY41069201","P2016101900000003","100433","1","1","P2016101900000003-0204"
"PDY410692","PDY41069201","P2016101900000003","107277","1","1","P2016101900000003-0102"
"PDY410692","PDY41069201","P2016101900000003","111083","1","1","P2016101900000003-0431"
"PDY410692","PDY41069201","P2016101900000003","112689","1","1","P2016101900000003-0272"
"PDY410692","PDY41069201","P2016101900000003","100967","1","1","P2016101900000003-0029"
"PDY410692","PDY41069201","P2016101900000003","108115","1","1","P2016101900000003-0158"
"PDY410692","PDY41069201","P2016101900000003","100963","1","1","P2016101900000003-0429"
"PDY410692","PDY41069201","P2016101900000003","101123","1","1","P2016101900000003-0064"
"PDY410692","PDY41069201","P2016101900000003","106075","1","1","P2016101900000003-0401"
"PDY410692","PDY41069201","P2016101900000003","105603","1","1","P2016101900000003-0056"
"PDY410692","PDY41069201","P2016101900000003","108523","1","1","P2016101900000003-0372"
"PDY410692","PDY41069201","P2016101900000003","101441","1","1","P2016101900000003-0104"
"PDY410692","PDY41069201","P2016101900000003","112695","1","1","P2016101900000003-0465"
"PDY410692","PDY41069201","P2016101900000003","101099","1","1","P2016101900000003-0188"
"PDY410692","PDY41069201","P2016101900000003","113139","1","1","P2016101900000003-0446"
"PDY410692","PDY41069201","P2016101900000003","114321","1","1","P2016101900000003-0437"
"PDY410692","PDY41069201","P2016101900000003","106065","1","1","P2016101900000003-0173"
"PDY410692","PDY41069201","P2016101900000003","111805","1","1","P2016101900000003-0427"
"PDY410692","PDY41069201","P2016101900000003","114169","1","1","P2016101900000003-0466"
"PDY410692","PDY41069201","P2016101900000003","114369","1","1","P2016101900000003-0305"
"PDY410692","PDY41069201","P2016101900000003","116805","1","1","P2016101900000003-0285"
"PDY410692","PDY41069201","P2016101900000003","109473","1","1","P2016101900000003-0422"
"PDY410692","PDY41069201","P2016101900000003","105367","1","1","P2016101900000003-0247"
"PDY410692","PDY41069201","P2016101900000003","114317","1","1","P2016101900000003-0334"
"PDY410692","PDY41069201","P2016101900000003","104179","1","1","P2016101900000003-0072"
"PDY410692","PDY41069201","P2016101900000003","113807","1","1","P2016101900000003-0151"
"PDY410692","PDY41069201","P2016101900000003","108187","1","1","P2016101900000003-0218"
"PDY410692","PDY41069201","P2016101900000003","114337","1","1","P2016101900000003-0482"
"PDY410692","PDY41069201","P2016101900000003","115349","1","1","P2016101900000003-0398"
"PDY410692","PDY41069201","P2016101900000003","101127","1","1","P2016101900000003-0499"
"PDY410692","PDY41069201","P2016101900000003","112699","1","1","P2016101900000003-0264"
"PDY410692","PDY41069201","P2016101900000003","100443","1","1","P2016101900000003-0434"
"PDY410692","PDY41069201","P2016101900000003","107264","1","1","P2016101900000003-0100"
"PDY410692","PDY41069201","P2016101900000003","113241","1","1","P2016101900000003-0216"
"PDY410692","PDY41069201","P2016101900000003","108519","1","1","P2016101900000003-0492"
"PDY410692","PDY41069201","P2016101900000003","108171","1","1","P2016101900000003-0404"
"PDY410692","PDY41069201","P2016101900000003","108117","1","1","P2016101900000003-0147"
"PDY410692","PDY41069201","P2016101900000003","106327","1","1","P2016101900000003-0488"
"PDY410692","PDY41069201","P2016101900000003","109573","1","1","P2016101900000003-0265"
"PDY410692","PDY41069201","P2016101900000003","106077","1","1","P2016101900000003-0273"
"PDY410692","PDY41069201","P2016101900000003","111039","1","1","P2016101900000003-0023"
"PDY410692","PDY41069201","P2016101900000003","115341","1","1","P2016101900000003-0021"
"PDY410692","PDY41069201","P2016101900000003","108527","1","1","P2016101900000003-0363"
"PDY410692","PDY41069201","P2016101900000003","113829","1","1","P2016101900000003-0375"
"PDY410692","PDY41069201","P2016101900000003","105341","1","1","P2016101900000003-0176"
"PDY410692","PDY41069201","P2016101900000003","108487","1","1","P2016101900000003-0405"
"PDY410692","PDY41069201","P2016101900000003","112369","1","1","P2016101900000003-0108"
"PDY410692","PDY41069201","P2016101900000003","108233","1","1","P2016101900000003-0050"
"PDY410692","PDY41069201","P2016101900000003","111685","1","1","P2016101900000003-0303"
"PDY410692","PDY41069201","P2016101900000003","100969","1","1","P2016101900000003-0388"
"PDY410692","PDY41069201","P2016101900000003","107235","1","1","P2016101900000003-0014"
"PDY410692","PDY41069201","P2016101900000003","109457","1","1","P2016101900000003-0377"
"PDY410692","PDY41069201","P2016101900000003","117429","1","1","P2016101900000003-0326"
"PDY410692","PDY41069201","P2016101900000003","106271","1","1","P2016101900000003-0030"
"PDY410692","PDY41069201","P2016101900000003","104481","1","1","P2016101900000003-0298"
"PDY410692","PDY41069201","P2016101900000003","114977","1","1","P2016101900000003-0462"
"PDY410692","PDY41069201","P2016101900000003","109921","1","1","P2016101900000003-0082"
"PDY410692","PDY41069201","P2016101900000003","114353","1","1","P2016101900000003-0174"
"PDY410692","PDY41069201","P2016101900000003","114709","1","1","P2016101900000003-0186"
"PDY410692","PDY41069201","P2016101900000003","117775","1","1","P2016101900000003-0234"
"PDY410692","PDY41069201","P2016101900000003","113173","1","1","P2016101900000003-0478"
"PDY410692","PDY41069201","P2016101900000003","100054","1","1","P2016101900000003-0126"
"PDY410692","PDY41069201","P2016101900000003","114151","1","1","P2016101900000003-0098"
"PDY410692","PDY41069201","P2016101900000003","110378","1","1","P2016101900000003-0074"
"PDY410692","PDY41069201","P2016101900000003","106187","1","1","P2016101900000003-0110"
"PDY410692","PDY41069201","P2016101900000003","113821","1","1","P2016101900000003-0001"
"PDY410692","PDY41069201","P2016101900000003","104175","1","1","P2016101900000003-0182"
"PDY410692","PDY41069201","P2016101900000003","113813","1","1","P2016101900000003-0148"
"PDY410692","PDY41069201","P2016101900000003","113819","1","1","P2016101900000003-0337"
"PDY410692","PDY41069201","P2016101900000003","114397","1","1","P2016101900000003-0042"
"PDY410692","PDY41069201","P2016101900000003","109433","1","1","P2016101900000003-0282"
"PDY410692","PDY41069201","P2016101900000003","108547","1","1","P2016101900000003-0483"
"PDY410692","PDY41069201","P2016101900000003","109451","1","1","P2016101900000003-0258"
"PDY410692","PDY41069201","P2016101900000003","108551","1","1","P2016101900000003-0261"
"PDY410692","PDY41069201","P2016101900000003","113201","1","1","P2016101900000003-0359"
"PDY410692","PDY41069201","P2016101900000003","116159","1","1","P2016101900000003-0343"
"PDY410692","PDY41069201","P2016101900000003","109443","1","1","P2016101900000003-0031"
"PDY410692","PDY41069201","P2016101900000003","101609","1","1","P2016101900000003-0444"
"PDY410692","PDY41069201","P2016101900000003","110375","1","1","P2016101900000003-0436"
"PDY410692","PDY41069201","P2016101900000003","111781","1","1","P2016101900000003-0024"
"PDY410692","PDY41069201","P2016101900000003","101327","1","1","P2016101900000003-0156"
"PDY410692","PDY41069201","P2016101900000003","109559","1","1","P2016101900000003-0183"
"PDY410692","PDY41069201","P2016101900000003","102577","1","1","P2016101900000003-0461"
"PDY410692","PDY41069201","P2016101900000003","100883","1","1","P2016101900000003-0476"
"PDY410692","PDY41069201","P2016101900000003","109447","1","1","P2016101900000003-0480"
"PDY410692","PDY41069201","P2016101900000003","106225","1","1","P2016101900000003-0060"
"PDY410692","PDY41069201","P2016101900000003","103761","1","1","P2016101900000003-0053"
"PDY410692","PDY41069201","P2016101900000003","109569","1","1","P2016101900000003-0169"
"PDY410692","PDY41069201","P2016101900000003","108255","1","1","P2016101900000003-0084"
"PDY410692","PDY41069201","P2016101900000003","101199","1","1","P2016101900000003-0211"
"PDY410692","PDY41069201","P2016101900000003","106265","1","1","P2016101900000003-0225"
"PDY410692","PDY41069201","P2016101900000003","108341","1","1","P2016101900000003-0222"
"PDY410692","PDY41069201","P2016101900000003","113175","1","1","P2016101900000003-0447"
"PDY410692","PDY41069201","P2016101900000003","112955","1","1","P2016101900000003-0321"
"PDY410692","PDY41069201","P2016101900000003","112687","1","1","P2016101900000003-0374"
"PDY410692","PDY41069201","P2016101900000003","100987","1","1","P2016101900000003-0390"
"PDY410692","PDY41069201","P2016101900000003","101119","1","1","P2016101900000003-0027"
"PDY410692","PDY41069201","P2016101900000003","117419","1","1","P2016101900000003-0146"
"PDY410692","PDY41069201","P2016101900000003","108503","1","1","P2016101900000003-0052"
"PDY410692","PDY41069201","P2016101900000003","101325","1","1","P2016101900000003-0008"
"PDY410692","PDY41069201","P2016101900000003","117667","1","1","P2016101900000003-0263"
"PDY410692","PDY41069201","P2016101900000003","117433","1","1","P2016101900000003-0307"
"PDY410692","PDY41069201","P2016101900000003","105365","1","1","P2016101900000003-0364"
"PDY410692","PDY41069201","P2016101900000003","111041","1","1","P2016101900000003-0351"
"PDY410692","PDY41069201","P2016101900000003","106081","1","1","P2016101900000003-0166"
"PDY410692","PDY41069201","P2016101900000003","100953","1","1","P2016101900000003-0383"
"PDY410692","PDY41069201","P2016101900000003","103429","1","1","P2016101900000003-0032"
"PDY410692","PDY41069201","P2016101900000003","111143","1","1","P2016101900000003-0233"
"PDY410692","PDY41069201","P2016101900000003","100981","1","1","P2016101900000003-0486"
"PDY410692","PDY41069201","P2016101900000003","101101","1","1","P2016101900000003-0430"
"PDY410692","PDY41069201","P2016101900000003","114173","1","1","P2016101900000003-0399"
"PDY410692","PDY41069201","P2016101900000003","113009","1","1","P2016101900000003-0409"
"PDY410692","PDY41069201","P2016101900000003","101245","1","1","P2016101900000003-0355"
"PDY410692","PDY41069201","P2016101900000003","101454","1","1","P2016101900000003-0212"
"PDY410692","PDY41069201","P2016101900000003","105015","1","1","P2016101900000003-0226"
"PDY410692","PDY41069201","P2016101900000003","108505","1","1","P2016101900000003-0458"
"PDY410692","PDY41069201","P2016101900000003","104525","1","1","P2016101900000003-0083"
"PDY410692","PDY41069201","P2016101900000003","118041","1","1","P2016101900000003-0136"
"PDY410692","PDY41069201","P2016101900000003","114053","1","1","P2016101900000003-0086"
"PDY410692","PDY41069201","P2016101900000003","107253","1","1","P2016101900000003-0426"
"PDY410692","PDY41069201","P2016101900000003","117739","1","1","P2016101900000003-0442"
"PDY410692","PDY41069201","P2016101900000003","114109","1","1","P2016101900000003-0096"
"PDY410692","PDY41069201","P2016101900000003","114323","1","1","P2016101900000003-0205"
"PDY410692","PDY41069201","P2016101900000003","114191","1","1","P2016101900000003-0175"
"PDY410692","PDY41069201","P2016101900000003","116357","1","1","P2016101900000003-0445"
"PDY410692","PDY41069201","P2016101900000003","100961","1","1","P2016101900000003-0415"
"PDY410692","PDY41069201","P2016101900000003","113799","1","1","P2016101900000003-0123"
"PDY410692","PDY41069201","P2016101900000003","111123","1","1","P2016101900000003-0051"
"PDY410692","PDY41069201","P2016101900000003","115891","1","1","P2016101900000003-0253"
"PDY410692","PDY41069201","P2016101900000003","104547","1","1","P2016101900000003-0224"
"PDY410692","PDY41069201","P2016101900000003","108555","1","1","P2016101900000003-0022"
"PDY410692","PDY41069201","P2016101900000003","105335","1","1","P2016101900000003-0394"
"PDY410692","PDY41069201","P2016101900000003","109455","1","1","P2016101900000003-0457"
"PDY410692","PDY41069201","P2016101900000003","106319","1","1","P2016101900000003-0241"
"PDY410692","PDY41069201","P2016101900000003","108543","1","1","P2016101900000003-0320"
"PDY410692","PDY41069201","P2016101900000003","104541","1","1","P2016101900000003-0047"
"PDY410692","PDY41069201","P2016101900000003","104549","1","1","P2016101900000003-0357"
"PDY410692","PDY41069201","P2016101900000003","114961","1","1","P2016101900000003-0414"
"PDY410692","PDY41069201","P2016101900000003","106249","1","1","P2016101900000003-0070"
