"DDJHBH","GYSBM","YYBM","PSDBM","DDJHMXBH","YPBM","CGSL","CGDJ"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0001","105603","10.000","32.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0002","116315","9990.000","38.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0003","119837","10.000","36.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0004","119229","9990.000","32.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0005","132841","10.000","36.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0006","129409","10.000","20.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0007","106327","9990.000","36.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0008","130859","10.000","36.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0009","108153","10.000","34.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0010","124359","9990.000","28.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0011","114337","10.000","32.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0012","100969","9990.000","23.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0013","127641","10.000","37.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0014","106223","10.000","23.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0015","127551","9990.000","34.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0016","127136","10.000","38.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0017","102565","8790.000","37.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0018","135009","10.000","38.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0019","128417","9990.000","31.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0020","119023","10.000","31.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0021","108343","10.000","37.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0022","119559","9990.000","25.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0023","101611","8390.000","20.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0024","131173","10.000","29.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0025","107291","10.000","37.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0026","128421","10.000","36.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0027","134247","9990.000","31.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0028","100435","10.000","21.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0029","120465","10.000","38.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0030","114755","10.000","21.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0031","114977","10.000","22.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0032","127637","10.000","28.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0033","102587","10.000","22.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0034","115549","9990.000","21.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0035","130499","9990.000","35.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0036","122823","9990.000","28.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0037","130005","9990.000","35.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0038","111095","9990.000","34.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0039","100025","10000.000","31.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0040","131211","9990.000","31.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0041","130495","9990.000","34.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0042","119661","10.000","36.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0043","114165","10.000","32.00"
